season,episode,name,emoji,percent
1,1,Daenerys Targaryen,,12.0
1,1,Tyrion Lannister,,11.2
1,1,Bran Stark,,8.8
1,2,Tyrion Lannister,,18.1
1,2,Joffrey Baratheon,,12.5
1,2,Jon Snow,,8.8
1,3,Arya Stark,,13.5
1,3,Eddard Stark,,10.2
1,3,Syrio Forel,,9.9
1,4,Daenerys Targaryen,,14.7
1,4,Tyrion Lannister,,12.4
1,4,Jon Snow,,8.7
1,5,Renly Baratheon,,14.8
1,5,Loras Tyrell,,14.6
1,5,Tyrion Lannister,,9.7
1,6,Daenerys Targaryen,,18.3
1,6,Viserys Targaryen,,18.1
1,6,Tyrion Lannister,,13.1
1,7,Eddard Stark,,20.7
1,7,Petyr Baelish,,13.5
1,7,Daenerys Targaryen,,7.1
1,8,Khal Drogo,,10.4
1,8,Tyrion Lannister,,9.4
1,8,Sansa Stark,,7.9
1,9,Eddard Stark,,34
1,9,Joffrey Baratheon,,18
1,9,Tyrion Lannister,,10.3
1,10,Daenerys Targaryen,,27.1
1,10,Joffrey Baratheon,,15.5
1,10,Arya Stark,,7.2
2,1,Joffrey Baratheon,,24
2,1,Tyrion Lannister,,12.8
2,1,Cersei Lannister,,7.5
2,2,Tyrion Lannister,,18.1
2,2,Tyrion Lannister,,18.3
2,2,Jon Snow,,7.6
2,2,Theon Greyjoy,,7.3
2,3,Tyrion Lannister,,16.2
2,3,Brienne,,11.8
2,3,Renly Baratheon,,8.2
2,4,Joffrey Baratheon,,32.6
2,4,Tyrion Lannister,,16.4
2,4,Daenerys Targaryen,,6.7
2,5,Arya Stark,,12.5
2,5,Daenerys Targaryen,,9.9
2,5,Renly Baratheon,,9.8
2,6,Theon Greyjoy,,19.9
2,6,Joffrey Baratheon,,12.8
2,6,Jon Snow,,10.5
2,7,Jon Snow,,15.2
2,7,Theon Greyjoy,,14
2,7,Ygritte,,8.2
2,8,Tyrion Lannister,,14.4
2,8,Robb Stark,,12.5
2,8,Theon Greyjoy,,8.7
2,9,Tyrion Lannister,,34.6
2,9,Joffrey Baratheon,,11.6
2,9,Cersei Lannister,,10.9
2,10,Daenerys Targaryen,,21
2,10,White Walkers,,12.8
2,10,Theon Greyjoy,,7.8
3,1,Daenerys Targaryen,🐉 🐲 👑,18.3
3,1,Jon Snow,😘,11.1
3,1,Tyrion Lannister,,11
3,2,Joffrey Baratheon,,14.6
3,2,Jaime Lannister,,7.7
3,2,Bran Stark,,6.7
3,3,Jaime Lannister,,26.1
3,3,Daenerys Targaryen,🐉 🐲 👑,11.7
3,3,Podrick Payne,,7.9
3,4,Daenerys Targaryen,🐉 🐲 🔥 👑 🙌,56.1
3,4,Night's Watch,,4.1
3,4,Jaime Lannister,,4
