name,sex
Daenerys Targaryen,F
Tyrion Lannister,M
Bran Stark,M
Joffrey Baratheon,M
Jon Snow,M
Arya Stark,F
Eddard Stark,M
Syrio Forel,M
Renly Baratheon,M
Loras Tyrell,M
Viserys Targaryen,M
Petyr Baelish,M
Khal Drogo,M
Sansa Stark,F
Cersei Lannister,F
Theon Greyjoy,M
Brienne,F
Ygritte,F
Robb Stark,M
White Walkers,
Jaime Lannister,M
Podrick Payne,M
Night's Watch,
Sandor Clegane,M
Hodor,M
Shae,F
Oberyn Martell,M
Gregor Clegane,M
Tywin Lannister,M
Sparrows,
Son of the Harpies,
Ramsay Bolton,M
Stannis Baratheon,M
Melisandre,F
Olly,M
Rickon Stark,M
Samwell Tarly,M
Lyanna Mormont,F
Olenna Tyrell,F
Jorah Mormont,M
Petyr 'Littlefinger' Baelish,M
Eddard 'Ned' Stark,M
Brienne of Tarth,F
Davos Seaworth,M
Catelyn Stark,F
Lord Varys,M
Tywin Lannister,M
Margaery Tyrell,F
Robb Stark,M
Stannis Baratheon,M
Sandor 'The Hound' Clegane,M
Mance Rayder,M
Viserys Targaryen,M
Lady Crane,F

